Length	Start	data
1.0	1.0	206.0
2.0	1.0	202.0
3.0	1.0	194.0
4.0	1.0	194.0
5.0	1.0	188.0
6.0	1.0	186.0
7.0	1.0	0.0
8.0	1.0	174.0
9.0	1.0	172.0
10.0	1.0	168.0
11.0	1.0	164.0
12.0	1.0	162.0
13.0	1.0	156.0
14.0	1.0	154.0
15.0	1.0	148.0
16.0	1.0	140.0
17.0	1.0	142.0
18.0	1.0	138.0
19.0	1.0	134.0
20.0	1.0	130.0
21.0	1.0	126.0
22.0	1.0	122.0
23.0	1.0	116.0
24.0	1.0	112.0
25.0	1.0	108.0
26.0	1.0	106.0
27.0	1.0	102.0
28.0	1.0	98.0
29.0	1.0	94.0
30.0	1.0	90.0
31.0	1.0	86.0
32.0	1.0	82.0
33.0	1.0	76.0
34.0	1.0	74.0
35.0	1.0	70.0
36.0	1.0	0.0
37.0	1.0	62.0
38.0	1.0	58.0
39.0	1.0	54.0
40.0	1.0	50.0
41.0	1.0	46.0
42.0	1.0	42.0
43.0	1.0	38.0
44.0	1.0	34.0
45.0	1.0	29.0
46.0	1.0	26.0
47.0	1.0	22.0
48.0	1.0	18.0
49.0	1.0	14.0
50.0	1.0	10.0

1.0	2.0	208.0
2.0	2.0	202.0
3.0	2.0	199.0
4.0	2.0	196.0
5.0	2.0	189.0
6.0	2.0	186.0
7.0	2.0	184.0
8.0	2.0	180.0
9.0	2.0	176.0
10.0	2.0	172.0
11.0	2.0	166.0
12.0	2.0	162.0
13.0	2.0	158.0
14.0	2.0	154.0
15.0	2.0	150.0
16.0	2.0	146.0
17.0	2.0	142.0
18.0	2.0	140.0
19.0	2.0	14.0
20.0	2.0	132.0
21.0	2.0	128.0
22.0	2.0	124.0
23.0	2.0	118.0
24.0	2.0	116.0
25.0	2.0	112.0
26.0	2.0	108.0
27.0	2.0	104.0
28.0	2.0	98.0
29.0	2.0	94.0
30.0	2.0	87.0
31.0	2.0	86.0
32.0	2.0	84.0
33.0	2.0	80.0
34.0	2.0	76.0
35.0	2.0	72.0
36.0	2.0	68.0
37.0	2.0	62.0
38.0	2.0	60.0
39.0	2.0	56.0
40.0	2.0	52.0
41.0	2.0	46.0
42.0	2.0	44.0
43.0	2.0	40.0
44.0	2.0	38.0
45.0	2.0	34.0
46.0	2.0	14.0
47.0	2.0	26.0
48.0	2.0	22.0
49.0	2.0	18.0
50.0	2.0	0.0

1.0	3.0	212.0
2.0	3.0	22.0
3.0	3.0	206.0
4.0	3.0	202.0
5.0	3.0	193.0
6.0	3.0	192.0
7.0	3.0	184.0
8.0	3.0	186.0
9.0	3.0	180.0
10.0	3.0	176.0
11.0	3.0	174.0
12.0	3.0	170.0
13.0	3.0	166.0
14.0	3.0	160.0
15.0	3.0	158.0
16.0	3.0	154.0
17.0	3.0	150.0
18.0	3.0	146.0
19.0	3.0	142.0
20.0	3.0	134.0
21.0	3.0	134.0
22.0	3.0	126.0
23.0	3.0	126.0
24.0	3.0	122.0
25.0	3.0	118.0
26.0	3.0	114.0
27.0	3.0	110.0
28.0	3.0	104.0
29.0	3.0	102.0
30.0	3.0	98.0
31.0	3.0	89.0
32.0	3.0	90.0
33.0	3.0	85.0
34.0	3.0	80.0
35.0	3.0	78.0
36.0	3.0	74.0
37.0	3.0	70.0
38.0	3.0	66.0
39.0	3.0	61.0
40.0	3.0	58.0
41.0	3.0	54.0
42.0	3.0	50.0
43.0	3.0	46.0
44.0	3.0	42.0
45.0	3.0	38.0
46.0	3.0	32.0
47.0	3.0	30.0
48.0	3.0	26.0
49.0	3.0	0.0
50.0	3.0	0.0

1.0	4.0	208.0
2.0	4.0	214.0
3.0	4.0	207.0
4.0	4.0	206.0
5.0	4.0	196.0
6.0	4.0	190.0
7.0	4.0	194.0
8.0	4.0	188.0
9.0	4.0	186.0
10.0	4.0	180.0
11.0	4.0	168.0
12.0	4.0	172.0
13.0	4.0	168.0
14.0	4.0	166.0
15.0	4.0	159.0
16.0	4.0	158.0
17.0	4.0	150.0
18.0	4.0	146.0
19.0	4.0	140.0
20.0	4.0	142.0
21.0	4.0	138.0
22.0	4.0	134.0
23.0	4.0	130.0
24.0	4.0	124.0
25.0	4.0	122.0
26.0	4.0	118.0
27.0	4.0	114.0
28.0	4.0	110.0
29.0	4.0	104.0
30.0	4.0	102.0
31.0	4.0	98.0
32.0	4.0	94.0
33.0	4.0	90.0
34.0	4.0	84.0
35.0	4.0	82.0
36.0	4.0	78.0
37.0	4.0	74.0
38.0	4.0	70.0
39.0	4.0	66.0
40.0	4.0	62.0
41.0	4.0	58.0
42.0	4.0	54.0
43.0	4.0	50.0
44.0	4.0	46.0
45.0	4.0	42.0
46.0	4.0	36.0
47.0	4.0	34.0
48.0	4.0	0.0
49.0	4.0	0.0
50.0	4.0	0.0

1.0	5.0	222.0
2.0	5.0	216.0
3.0	5.0	207.0
4.0	5.0	206.0
5.0	5.0	204.0
6.0	5.0	202.0
7.0	5.0	198.0
8.0	5.0	193.0
9.0	5.0	190.0
10.0	5.0	186.0
11.0	5.0	182.0
12.0	5.0	174.0
13.0	5.0	174.0
14.0	5.0	170.0
15.0	5.0	162.0
16.0	5.0	162.0
17.0	5.0	154.0
18.0	5.0	154.0
19.0	5.0	148.0
20.0	5.0	146.0
21.0	5.0	142.0
22.0	5.0	136.0
23.0	5.0	134.0
24.0	5.0	122.0
25.0	5.0	124.0
26.0	5.0	122.0
27.0	5.0	118.0
28.0	5.0	114.0
29.0	5.0	108.0
30.0	5.0	106.0
31.0	5.0	94.0
32.0	5.0	98.0
33.0	5.0	94.0
34.0	5.0	90.0
35.0	5.0	86.0
36.0	5.0	82.0
37.0	5.0	78.0
38.0	5.0	74.0
39.0	5.0	70.0
40.0	5.0	66.0
41.0	5.0	61.0
42.0	5.0	56.0
43.0	5.0	54.0
44.0	5.0	50.0
45.0	5.0	46.0
46.0	5.0	42.0
47.0	5.0	0.0
