Length	Start	data
1.0	1.0	302.0
2.0	1.0	296.0
3.0	1.0	290.0
4.0	1.0	284.0
5.0	1.0	278.0
6.0	1.0	272.0
7.0	1.0	0.0
8.0	1.0	260.0
9.0	1.0	254.0
10.0	1.0	248.0
11.0	1.0	242.0
12.0	1.0	236.0
13.0	1.0	230.0
14.0	1.0	224.0
15.0	1.0	218.0
16.0	1.0	212.0
17.0	1.0	206.0
18.0	1.0	200.0
19.0	1.0	194.0
20.0	1.0	188.0
21.0	1.0	182.0
22.0	1.0	176.0
23.0	1.0	170.0
24.0	1.0	164.0
25.0	1.0	158.0
26.0	1.0	152.0
27.0	1.0	146.0
28.0	1.0	140.0
29.0	1.0	134.0
30.0	1.0	128.0
31.0	1.0	122.0
32.0	1.0	0.0
33.0	1.0	110.0
34.0	1.0	104.0
35.0	1.0	98.0
36.0	1.0	92.0
37.0	1.0	86.0
38.0	1.0	80.0
39.0	1.0	74.0
40.0	1.0	68.0
41.0	1.0	62.0
42.0	1.0	56.0
43.0	1.0	50.0
44.0	1.0	44.0
45.0	1.0	38.0
46.0	1.0	32.0
47.0	1.0	26.0
48.0	1.0	20.0
49.0	1.0	14.0
50.0	1.0	8.0

1.0	2.0	302.0
2.0	2.0	296.0
3.0	2.0	290.0
4.0	2.0	284.0
5.0	2.0	278.0
6.0	2.0	272.0
7.0	2.0	266.0
8.0	2.0	260.0
9.0	2.0	254.0
10.0	2.0	248.0
11.0	2.0	242.0
12.0	2.0	236.0
13.0	2.0	230.0
14.0	2.0	224.0
15.0	2.0	218.0
16.0	2.0	212.0
17.0	2.0	206.0
18.0	2.0	200.0
19.0	2.0	194.0
20.0	2.0	188.0
21.0	2.0	182.0
22.0	2.0	176.0
23.0	2.0	170.0
24.0	2.0	164.0
25.0	2.0	158.0
26.0	2.0	152.0
27.0	2.0	146.0
28.0	2.0	140.0
29.0	2.0	134.0
30.0	2.0	128.0
31.0	2.0	122.0
32.0	2.0	116.0
33.0	2.0	110.0
34.0	2.0	104.0
35.0	2.0	98.0
36.0	2.0	92.0
37.0	2.0	86.0
38.0	2.0	80.0
39.0	2.0	74.0
40.0	2.0	68.0
41.0	2.0	62.0
42.0	2.0	56.0
43.0	2.0	50.0
44.0	2.0	44.0
45.0	2.0	38.0
46.0	2.0	32.0
47.0	2.0	26.0
48.0	2.0	20.0
49.0	2.0	14.0
50.0	2.0	0.0

1.0	3.0	302.0
2.0	3.0	296.0
3.0	3.0	290.0
4.0	3.0	284.0
5.0	3.0	278.0
6.0	3.0	272.0
7.0	3.0	266.0
8.0	3.0	260.0
9.0	3.0	254.0
10.0	3.0	248.0
11.0	3.0	242.0
12.0	3.0	236.0
13.0	3.0	230.0
14.0	3.0	224.0
15.0	3.0	218.0
16.0	3.0	212.0
17.0	3.0	206.0
18.0	3.0	200.0
19.0	3.0	194.0
20.0	3.0	188.0
21.0	3.0	182.0
22.0	3.0	176.0
23.0	3.0	170.0
24.0	3.0	164.0
25.0	3.0	158.0
26.0	3.0	152.0
27.0	3.0	146.0
28.0	3.0	140.0
29.0	3.0	134.0
30.0	3.0	128.0
31.0	3.0	122.0
32.0	3.0	116.0
33.0	3.0	110.0
34.0	3.0	104.0
35.0	3.0	98.0
36.0	3.0	92.0
37.0	3.0	86.0
38.0	3.0	80.0
39.0	3.0	74.0
40.0	3.0	68.0
41.0	3.0	62.0
42.0	3.0	56.0
43.0	3.0	50.0
44.0	3.0	44.0
45.0	3.0	38.0
46.0	3.0	32.0
47.0	3.0	26.0
48.0	3.0	20.0
49.0	3.0	0.0
50.0	3.0	0.0

1.0	4.0	302.0
2.0	4.0	296.0
3.0	4.0	290.0
4.0	4.0	284.0
5.0	4.0	278.0
6.0	4.0	272.0
7.0	4.0	266.0
8.0	4.0	260.0
9.0	4.0	254.0
10.0	4.0	248.0
11.0	4.0	242.0
12.0	4.0	236.0
13.0	4.0	230.0
14.0	4.0	224.0
15.0	4.0	218.0
16.0	4.0	212.0
17.0	4.0	206.0
18.0	4.0	200.0
19.0	4.0	194.0
20.0	4.0	188.0
21.0	4.0	182.0
22.0	4.0	176.0
23.0	4.0	170.0
24.0	4.0	164.0
25.0	4.0	158.0
26.0	4.0	152.0
27.0	4.0	146.0
28.0	4.0	140.0
29.0	4.0	134.0
30.0	4.0	128.0
31.0	4.0	122.0
32.0	4.0	116.0
33.0	4.0	110.0
34.0	4.0	104.0
35.0	4.0	98.0
36.0	4.0	92.0
37.0	4.0	86.0
38.0	4.0	80.0
39.0	4.0	74.0
40.0	4.0	68.0
41.0	4.0	62.0
42.0	4.0	56.0
43.0	4.0	50.0
44.0	4.0	44.0
45.0	4.0	38.0
46.0	4.0	32.0
47.0	4.0	26.0
48.0	4.0	0.0
49.0	4.0	0.0
50.0	4.0	0.0

1.0	5.0	302.0
2.0	5.0	296.0
3.0	5.0	290.0
4.0	5.0	284.0
5.0	5.0	278.0
6.0	5.0	272.0
7.0	5.0	266.0
8.0	5.0	260.0
9.0	5.0	254.0
10.0	5.0	248.0
11.0	5.0	242.0
12.0	5.0	236.0
13.0	5.0	230.0
14.0	5.0	224.0
15.0	5.0	218.0
16.0	5.0	212.0
17.0	5.0	206.0
18.0	5.0	200.0
19.0	5.0	194.0
20.0	5.0	188.0
21.0	5.0	182.0
22.0	5.0	176.0
23.0	5.0	170.0
24.0	5.0	164.0
25.0	5.0	158.0
26.0	5.0	152.0
27.0	5.0	146.0
28.0	5.0	140.0
29.0	5.0	134.0
30.0	5.0	128.0
31.0	5.0	122.0
32.0	5.0	116.0
33.0	5.0	110.0
34.0	5.0	104.0
35.0	5.0	98.0
36.0	5.0	92.0
37.0	5.0	86.0
38.0	5.0	80.0
39.0	5.0	74.0
40.0	5.0	68.0
41.0	5.0	62.0
42.0	5.0	56.0
43.0	5.0	50.0
44.0	5.0	44.0
45.0	5.0	38.0
46.0	5.0	32.0
47.0	5.0	0.0
48.0	5.0	0.0
49.0	5.0	0.0
50.0	5.0	0.0

1.0	6.0	302.0
2.0	6.0	296.0
3.0	6.0	290.0
4.0	6.0	284.0
5.0	6.0	278.0
6.0	6.0	272.0
7.0	6.0	266.0
8.0	6.0	260.0
9.0	6.0	254.0
10.0	6.0	248.0
11.0	6.0	242.0
12.0	6.0	236.0
13.0	6.0	230.0
14.0	6.0	224.0
15.0	6.0	218.0
16.0	6.0	212.0
17.0	6.0	206.0
18.0	6.0	200.0
19.0	6.0	194.0
20.0	6.0	188.0
21.0	6.0	182.0
22.0	6.0	176.0
23.0	6.0	170.0
24.0	6.0	164.0
25.0	6.0	158.0
26.0	6.0	152.0
27.0	6.0	146.0
28.0	6.0	140.0
29.0	6.0	134.0
30.0	6.0	128.0
31.0	6.0	122.0
32.0	6.0	116.0
33.0	6.0	110.0
34.0	6.0	104.0
35.0	6.0	98.0
36.0	6.0	92.0
37.0	6.0	86.0
38.0	6.0	80.0
39.0	6.0	74.0
40.0	6.0	68.0
41.0	6.0	62.0
42.0	6.0	56.0
43.0	6.0	50.0
44.0	6.0	44.0
45.0	6.0	38.0
46.0	6.0	0.0
47.0	6.0	0.0
48.0	6.0	0.0
49.0	6.0	0.0
50.0	6.0	0.0

1.0	7.0	302.0
2.0	7.0	296.0
3.0	7.0	290.0
4.0	7.0	284.0
5.0	7.0	272.0
6.0	7.0	272.0
7.0	7.0	266.0
8.0	7.0	260.0
9.0	7.0	254.0
10.0	7.0	248.0
11.0	7.0	242.0
12.0	7.0	236.0
13.0	7.0	230.0
14.0	7.0	224.0
15.0	7.0	218.0
16.0	7.0	212.0
17.0	7.0	206.0
18.0	7.0	200.0
19.0	7.0	194.0
20.0	7.0	188.0
21.0	7.0	182.0
22.0	7.0	176.0
23.0	7.0	170.0
24.0	7.0	164.0
25.0	7.0	158.0
26.0	7.0	152.0
27.0	7.0	146.0
28.0	7.0	140.0
29.0	7.0	134.0
30.0	7.0	128.0
31.0	7.0	116.0
32.0	7.0	116.0
33.0	7.0	110.0
34.0	7.0	104.0
35.0	7.0	98.0
36.0	7.0	92.0
37.0	7.0	86.0
38.0	7.0	80.0
39.0	7.0	74.0
40.0	7.0	68.0
41.0	7.0	62.0
42.0	7.0	56.0
43.0	7.0	50.0
44.0	7.0	44.0
45.0	7.0	0.0
46.0	7.0	0.0
47.0	7.0	0.0
48.0	7.0	0.0
49.0	7.0	0.0
50.0	7.0	0.0

1.0	8.0	302.0
2.0	8.0	296.0
3.0	8.0	290.0
4.0	8.0	284.0
5.0	8.0	278.0
6.0	8.0	272.0
7.0	8.0	266.0
8.0	8.0	260.0
9.0	8.0	254.0
10.0	8.0	248.0
11.0	8.0	242.0
12.0	8.0	236.0
13.0	8.0	230.0
14.0	8.0	224.0
15.0	8.0	218.0
16.0	8.0	212.0
17.0	8.0	206.0
18.0	8.0	200.0
19.0	8.0	194.0
20.0	8.0	188.0
21.0	8.0	182.0
22.0	8.0	170.0
23.0	8.0	170.0
24.0	8.0	164.0
25.0	8.0	158.0
26.0	8.0	152.0
27.0	8.0	146.0
28.0	8.0	140.0
29.0	8.0	134.0
30.0	8.0	128.0
31.0	8.0	122.0
32.0	8.0	116.0
33.0	8.0	110.0
34.0	8.0	104.0
35.0	8.0	98.0
36.0	8.0	92.0
37.0	8.0	86.0
38.0	8.0	80.0
39.0	8.0	74.0
40.0	8.0	68.0
41.0	8.0	62.0
42.0	8.0	56.0
43.0	8.0	50.0
44.0	8.0	0.0
45.0	8.0	0.0
46.0	8.0	0.0
47.0	8.0	0.0
48.0	8.0	0.0
49.0	8.0	0.0
50.0	8.0	0.0

1.0	9.0	302.0
2.0	9.0	296.0
3.0	9.0	290.0
4.0	9.0	284.0
5.0	9.0	278.0
6.0	9.0	272.0
7.0	9.0	266.0
8.0	9.0	260.0
9.0	9.0	254.0
10.0	9.0	248.0
11.0	9.0	242.0
12.0	9.0	236.0
13.0	9.0	230.0
14.0	9.0	224.0
15.0	9.0	218.0
16.0	9.0	212.0
17.0	9.0	206.0
18.0	9.0	200.0
19.0	9.0	194.0
20.0	9.0	188.0
21.0	9.0	182.0
22.0	9.0	176.0
23.0	9.0	170.0
24.0	9.0	164.0
25.0	9.0	158.0
26.0	9.0	152.0
27.0	9.0	146.0
28.0	9.0	140.0
29.0	9.0	134.0
30.0	9.0	128.0
31.0	9.0	122.0
32.0	9.0	116.0
33.0	9.0	110.0
34.0	9.0	104.0
35.0	9.0	98.0
36.0	9.0	92.0
37.0	9.0	86.0
38.0	9.0	80.0
39.0	9.0	74.0
40.0	9.0	68.0
41.0	9.0	62.0
42.0	9.0	56.0
43.0	9.0	0.0
44.0	9.0	0.0
45.0	9.0	0.0
46.0	9.0	0.0
47.0	9.0	0.0
48.0	9.0	0.0
49.0	9.0	0.0
50.0	9.0	0.0

1.0	10.0	302.0
2.0	10.0	296.0
3.0	10.0	290.0
4.0	10.0	284.0
5.0	10.0	278.0
6.0	10.0	272.0
7.0	10.0	266.0
8.0	10.0	260.0
9.0	10.0	254.0
10.0	10.0	248.0
11.0	10.0	242.0
12.0	10.0	236.0
13.0	10.0	230.0
14.0	10.0	224.0
15.0	10.0	218.0
16.0	10.0	212.0
17.0	10.0	206.0
18.0	10.0	200.0
19.0	10.0	194.0
20.0	10.0	188.0
21.0	10.0	182.0
22.0	10.0	176.0
23.0	10.0	170.0
24.0	10.0	164.0
25.0	10.0	158.0
26.0	10.0	152.0
27.0	10.0	146.0
28.0	10.0	140.0
29.0	10.0	134.0
30.0	10.0	128.0
31.0	10.0	122.0
32.0	10.0	116.0
33.0	10.0	110.0
34.0	10.0	104.0
35.0	10.0	98.0
36.0	10.0	92.0
37.0	10.0	86.0
38.0	10.0	80.0
39.0	10.0	74.0
40.0	10.0	68.0
41.0	10.0	62.0
42.0	10.0	0.0
43.0	10.0	0.0
44.0	10.0	0.0
45.0	10.0	0.0
46.0	10.0	0.0
47.0	10.0	0.0
48.0	10.0	0.0
49.0	10.0	0.0
50.0	10.0	0.0

1.0	11.0	302.0
2.0	11.0	290.0
3.0	11.0	290.0
4.0	11.0	284.0
5.0	11.0	278.0
6.0	11.0	272.0
7.0	11.0	266.0
8.0	11.0	260.0
9.0	11.0	254.0
10.0	11.0	248.0
11.0	11.0	242.0
12.0	11.0	236.0
13.0	11.0	230.0
14.0	11.0	224.0
15.0	11.0	218.0
16.0	11.0	212.0
17.0	11.0	206.0
18.0	11.0	200.0
19.0	11.0	194.0
20.0	11.0	188.0
21.0	11.0	182.0
22.0	11.0	176.0
23.0	11.0	170.0
24.0	11.0	164.0
25.0	11.0	158.0
26.0	11.0	152.0
27.0	11.0	146.0
28.0	11.0	140.0
29.0	11.0	134.0
30.0	11.0	128.0
31.0	11.0	122.0
32.0	11.0	116.0
33.0	11.0	110.0
34.0	11.0	104.0
35.0	11.0	98.0
36.0	11.0	92.0
37.0	11.0	86.0
38.0	11.0	80.0
39.0	11.0	74.0
40.0	11.0	68.0
41.0	11.0	0.0
42.0	11.0	0.0
43.0	11.0	0.0
44.0	11.0	0.0
45.0	11.0	0.0
46.0	11.0	0.0
47.0	11.0	0.0
48.0	11.0	0.0
49.0	11.0	0.0
50.0	11.0	0.0

1.0	12.0	302.0
2.0	12.0	296.0
3.0	12.0	290.0
4.0	12.0	284.0
5.0	12.0	278.0
6.0	12.0	272.0
7.0	12.0	266.0
8.0	12.0	260.0
9.0	12.0	254.0
10.0	12.0	248.0
11.0	12.0	242.0
12.0	12.0	236.0
13.0	12.0	230.0
14.0	12.0	224.0
15.0	12.0	218.0
16.0	12.0	212.0
17.0	12.0	206.0
18.0	12.0	200.0
19.0	12.0	194.0
20.0	12.0	188.0
21.0	12.0	182.0
22.0	12.0	176.0
23.0	12.0	170.0
24.0	12.0	164.0
25.0	12.0	158.0
