Length	Start	data
1.0	1.0	3914.0
2.0	1.0	378.0
3.0	1.0	3569.0
4.0	1.0	3131.0
5.0	1.0	1397.0
6.0	1.0	1338.0
7.0	1.0	1314.0
8.0	1.0	1161.0
9.0	1.0	1915.0
10.0	1.0	928.0
11.0	1.0	880.0
12.0	1.0	667.0
13.0	1.0	397.0
14.0	1.0	937.0
15.0	1.0	606.0
16.0	1.0	450.0
17.0	1.0	305.0
18.0	1.0	220.0
19.0	1.0	537.0
20.0	1.0	399.0
21.0	1.0	325.0
22.0	1.0	316.0
23.0	1.0	382.0
24.0	1.0	419.0
25.0	1.0	414.0
26.0	1.0	329.0
27.0	1.0	326.0
28.0	1.0	343.0
29.0	1.0	377.0
30.0	1.0	194.0
31.0	1.0	297.0
32.0	1.0	268.0
33.0	1.0	285.0
34.0	1.0	170.0
35.0	1.0	294.0
36.0	1.0	248.0
37.0	1.0	302.0
38.0	1.0	224.0
39.0	1.0	203.0
40.0	1.0	284.0
41.0	1.0	250.0
42.0	1.0	179.0
43.0	1.0	281.0
44.0	1.0	176.0
45.0	1.0	275.0
46.0	1.0	149.0
47.0	1.0	149.0
48.0	1.0	170.0
49.0	1.0	139.0
50.0	1.0	179.0

1.0	2.0	4604.0
2.0	2.0	3397.0
3.0	2.0	3112.0
4.0	2.0	3058.0
5.0	2.0	566.0
6.0	2.0	2402.0
7.0	2.0	1838.0
8.0	2.0	1382.0
9.0	2.0	402.0
10.0	2.0	1216.0
11.0	2.0	1182.0
12.0	2.0	932.0
13.0	2.0	608.0
14.0	2.0	1042.0
15.0	2.0	731.0
16.0	2.0	734.0
17.0	2.0	691.0
18.0	2.0	872.0
19.0	2.0	452.0
20.0	2.0	730.0
21.0	2.0	694.0
22.0	2.0	462.0
23.0	2.0	440.0
24.0	2.0	483.0
25.0	2.0	564.0
26.0	2.0	502.0
27.0	2.0	477.0
28.0	2.0	690.0
29.0	2.0	501.0
30.0	2.0	517.0
31.0	2.0	320.0
32.0	2.0	424.0
33.0	2.0	498.0
34.0	2.0	396.0
35.0	2.0	363.0
36.0	2.0	441.0
37.0	2.0	306.0
38.0	2.0	268.0
39.0	2.0	167.0
40.0	2.0	347.0
41.0	2.0	297.0
