Length	Start	data
1.0	1.0	2034.0
2.0	1.0	1792.0
3.0	1.0	1625.0
4.0	1.0	1518.0
5.0	1.0	1216.0
6.0	1.0	1178.0
7.0	1.0	1077.0
8.0	1.0	1051.0
9.0	1.0	989.0
10.0	1.0	912.0
11.0	1.0	814.0
12.0	1.0	767.0
13.0	1.0	750.0
14.0	1.0	757.0
15.0	1.0	692.0
16.0	1.0	612.0
17.0	1.0	649.0
18.0	1.0	539.0
19.0	1.0	528.0
20.0	1.0	547.0
21.0	1.0	506.0
22.0	1.0	492.0
23.0	1.0	412.0
24.0	1.0	359.0
25.0	1.0	354.0
26.0	1.0	337.0
27.0	1.0	326.0
28.0	1.0	300.0
29.0	1.0	310.0
30.0	1.0	263.0
31.0	1.0	288.0
32.0	1.0	268.0
33.0	1.0	248.0
34.0	1.0	249.0
35.0	1.0	217.0
36.0	1.0	215.0
37.0	1.0	171.0
38.0	1.0	175.0
39.0	1.0	0.0
40.0	1.0	141.0
41.0	1.0	133.0
42.0	1.0	122.0
43.0	1.0	129.0
44.0	1.0	121.0
45.0	1.0	104.0
46.0	1.0	105.0
47.0	1.0	73.0
48.0	1.0	68.0
49.0	1.0	54.0
50.0	1.0	67.0

1.0	2.0	2126.0
2.0	2.0	1884.0
3.0	2.0	1432.0
4.0	2.0	1241.0
5.0	2.0	1107.0
6.0	2.0	1036.0
7.0	2.0	1037.0
8.0	2.0	909.0
9.0	2.0	871.0
10.0	2.0	827.0
11.0	2.0	774.0
12.0	2.0	757.0
13.0	2.0	767.0
14.0	2.0	662.0
15.0	2.0	730.0
16.0	2.0	644.0
17.0	2.0	624.0
18.0	2.0	604.0
19.0	2.0	569.0
20.0	2.0	519.0
21.0	2.0	487.0
22.0	2.0	488.0
23.0	2.0	453.0
24.0	2.0	457.0
25.0	2.0	425.0
26.0	2.0	387.0
27.0	2.0	376.0
28.0	2.0	356.0
29.0	2.0	378.0
30.0	2.0	340.0
31.0	2.0	338.0
32.0	2.0	318.0
33.0	2.0	277.0
34.0	2.0	281.0
35.0	2.0	261.0
36.0	2.0	250.0
37.0	2.0	227.0
38.0	2.0	231.0
39.0	2.0	232.0
40.0	2.0	209.0
41.0	2.0	177.0
42.0	2.0	208.0
43.0	2.0	209.0
44.0	2.0	177.0
45.0	2.0	169.0
46.0	2.0	137.0
47.0	2.0	147.0
48.0	2.0	127.0
49.0	2.0	101.0
50.0	2.0	0.0

1.0	3.0	1928.0
2.0	3.0	2096.0
3.0	3.0	2073.0
4.0	3.0	1822.0
5.0	3.0	1712.0
6.0	3.0	1890.0
7.0	3.0	1474.0
8.0	3.0	1133.0
9.0	3.0	1029.0
10.0	3.0	1033.0
11.0	3.0	950.0
12.0	3.0	933.0
13.0	3.0	895.0
14.0	3.0	779.0
15.0	3.0	699.0
16.0	3.0	682.0
17.0	3.0	608.0
18.0	3.0	627.0
19.0	3.0	607.0
20.0	3.0	617.0
21.0	3.0	609.0
22.0	3.0	541.0
23.0	3.0	536.0
24.0	3.0	495.0
25.0	3.0	454.0
26.0	3.0	464.0
27.0	3.0	417.0
28.0	3.0	409.0
29.0	3.0	365.0
30.0	3.0	384.0
31.0	3.0	343.0
32.0	3.0	347.0
33.0	3.0	312.0
34.0	3.0	355.0
35.0	3.0	332.0
36.0	3.0	285.0
37.0	3.0	295.0
38.0	3.0	290.0
39.0	3.0	279.0
40.0	3.0	301.0
41.0	3.0	209.0
42.0	3.0	273.0
43.0	3.0	226.0
44.0	3.0	230.0
45.0	3.0	246.0
46.0	3.0	223.0
47.0	3.0	200.0
48.0	3.0	186.0
49.0	3.0	0.0
50.0	3.0	0.0

1.0	4.0	2040.0
2.0	4.0	1903.0
3.0	4.0	1721.0
4.0	4.0	1785.0
5.0	4.0	1363.0
6.0	4.0	1181.0
7.0	4.0	1140.0
