Length	Start	data
1.0	1.0	66.0
2.0	1.0	64.0
3.0	1.0	60.0
4.0	1.0	60.0
5.0	1.0	56.0
6.0	1.0	56.0
7.0	1.0	56.0
8.0	1.0	56.0
9.0	1.0	52.0
10.0	1.0	52.0
11.0	1.0	52.0
12.0	1.0	52.0
13.0	1.0	52.0
14.0	1.0	52.0
15.0	1.0	52.0
16.0	1.0	52.0
17.0	1.0	48.0
18.0	1.0	48.0
19.0	1.0	48.0
20.0	1.0	48.0
21.0	1.0	48.0
22.0	1.0	48.0
23.0	1.0	48.0
24.0	1.0	48.0
25.0	1.0	48.0
26.0	1.0	48.0
27.0	1.0	48.0
28.0	1.0	48.0
29.0	1.0	48.0
30.0	1.0	48.0
31.0	1.0	48.0
32.0	1.0	48.0
33.0	1.0	44.0
34.0	1.0	44.0
35.0	1.0	44.0
36.0	1.0	44.0
37.0	1.0	44.0
38.0	1.0	43.0
39.0	1.0	44.0
40.0	1.0	44.0
41.0	1.0	44.0
42.0	1.0	44.0
43.0	1.0	44.0
44.0	1.0	44.0
45.0	1.0	44.0
46.0	1.0	44.0
47.0	1.0	44.0
48.0	1.0	44.0
49.0	1.0	30.0
50.0	1.0	30.0

1.0	2.0	68.0
2.0	2.0	72.0
3.0	2.0	62.0
4.0	2.0	74.0
5.0	2.0	58.0
6.0	2.0	64.0
7.0	2.0	58.0
8.0	2.0	76.0
9.0	2.0	54.0
10.0	2.0	60.0
11.0	2.0	54.0
12.0	2.0	66.0
13.0	2.0	54.0
14.0	2.0	58.0
15.0	2.0	54.0
16.0	2.0	78.0
17.0	2.0	50.0
18.0	2.0	56.0
19.0	2.0	50.0
20.0	2.0	62.0
21.0	2.0	50.0
22.0	2.0	56.0
23.0	2.0	50.0
24.0	2.0	68.0
25.0	2.0	50.0
26.0	2.0	56.0
27.0	2.0	50.0
28.0	2.0	62.0
29.0	2.0	50.0
30.0	2.0	56.0
31.0	2.0	50.0
32.0	2.0	80.0
33.0	2.0	46.0
34.0	2.0	52.0
35.0	2.0	46.0
36.0	2.0	56.0
37.0	2.0	46.0
38.0	2.0	44.0
39.0	2.0	46.0
40.0	2.0	62.0
41.0	2.0	46.0
42.0	2.0	52.0
43.0	2.0	46.0
44.0	2.0	58.0
45.0	2.0	46.0
46.0	2.0	52.0
47.0	2.0	46.0
48.0	2.0	56.0
49.0	2.0	32.0
50.0	2.0	0.0

1.0	3.0	76.0
2.0	3.0	74.0
3.0	3.0	76.0
4.0	3.0	76.0
5.0	3.0	66.0
6.0	3.0	66.0
7.0	3.0	78.0
8.0	3.0	76.0
9.0	3.0	62.0
10.0	3.0	62.0
11.0	3.0	68.0
12.0	3.0	68.0
13.0	3.0	62.0
14.0	3.0	62.0
15.0	3.0	80.0
16.0	3.0	80.0
17.0	3.0	58.0
18.0	3.0	57.0
19.0	3.0	64.0
20.0	3.0	64.0
21.0	3.0	58.0
22.0	3.0	58.0
23.0	3.0	70.0
24.0	3.0	70.0
25.0	3.0	58.0
26.0	3.0	58.0
27.0	3.0	64.0
28.0	3.0	64.0
29.0	3.0	58.0
30.0	3.0	56.0
31.0	3.0	82.0
32.0	3.0	82.0
33.0	3.0	54.0
34.0	3.0	54.0
35.0	3.0	60.0
36.0	3.0	60.0
37.0	3.0	54.0
38.0	3.0	54.0
39.0	3.0	66.0
40.0	3.0	66.0
41.0	3.0	54.0
42.0	3.0	54.0
43.0	3.0	60.0
44.0	3.0	60.0
45.0	3.0	54.0
46.0	3.0	54.0
47.0	3.0	58.0
48.0	3.0	58.0
49.0	3.0	0.0
50.0	3.0	0.0

1.0	4.0	78.0
2.0	4.0	88.0
3.0	4.0	78.0
4.0	4.0	84.0
5.0	4.0	68.0
6.0	4.0	82.0
7.0	4.0	80.0
8.0	4.0	86.0
9.0	4.0	63.0
10.0	4.0	76.0
11.0	4.0	70.0
12.0	4.0	76.0
13.0	4.0	64.0
14.0	4.0	88.0
15.0	4.0	82.0
16.0	4.0	88.0
17.0	4.0	60.0
18.0	4.0	72.0
