Length  Start   Dat
1.0     1.0     42.
2.0     1.0     38.
3.0     1.0     34.
4.0     1.0     30.
5.0     1.0     26.
6.0     1.0     22.
7.0     1.0     18.
8.0     1.0     14.
9.0     1.0     10.
10.0    1.0     6.0

1.0     2.0     42.
2.0     2.0     38.
3.0     2.0     34.
4.0     2.0     30.
5.0     2.0     26.
6.0     2.0     22.
7.0     2.0     18.
8.0     2.0     14.
9.0     2.0     10.
10.0    2.0     0.0

1.0     3.0     42.
2.0     3.0     38.
3.0     3.0     34.
4.0     3.0     30.
5.0     3.0     26.
6.0     3.0     22.
7.0     3.0     18.
8.0     3.0     14.
9.0     3.0     0.0
10.0    3.0     0.0

1.0     4.0     42.
2.0     4.0     38.
3.0     4.0     34.
4.0     4.0     30.
5.0     4.0     26.
6.0     4.0     22.
7.0     4.0     18.
8.0     4.0     0.0
9.0     4.0     0.0
10.0    4.0     0.0

1.0     5.0     42.
2.0     5.0     38.
3.0     5.0     34.
4.0     5.0     30.
5.0     5.0     26.
6.0     5.0     22.
7.0     5.0     0.0
8.0     5.0     0.0
9.0     5.0     0.0
10.0    5.0     0.0

1.0     6.0     42.
2.0     6.0     38.
3.0     6.0     34.
4.0     6.0     30.
5.0     6.0     26.
6.0     6.0     0.0
7.0     6.0     0.0
8.0     6.0     0.0
9.0     6.0     0.0
10.0    6.0     0.0

1.0     7.0     42.
2.0     7.0     38.
3.0     7.0     34.
4.0     7.0     30.
5.0     7.0     0.0
6.0     7.0     0.0
7.0     7.0     0.0
8.0     7.0     0.0
9.0     7.0     0.0
10.0    7.0     0.0

1.0     8.0     42.
2.0     8.0     38.
3.0     8.0     34.
4.0     8.0     0.0
5.0     8.0     0.0
6.0     8.0     0.0
7.0     8.0     0.0
8.0     8.0     0.0
9.0     8.0     0.0
10.0    8.0     0.0

1.0     9.0     42.
2.0     9.0     38.
3.0     9.0     0.0
4.0     9.0     0.0
5.0     9.0     0.0
6.0     9.0     0.0
7.0     9.0     0.0
8.0     9.0     0.0
9.0     9.0     0.0
10.0    9.0     0.0

1.0     10.0    42.
2.0     10.0    0.0
3.0     10.0    0.0
4.0     10.0    0.0
5.0     10.0    0.0
6.0     10.0    0.0
7.0     10.0    0.0
8.0     10.0    0.0
9.0     10.0    0.0
10.0    10.0    0.0
